Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
0.78685,0.00278,0.00278,0.19093,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278
2.3e-4,2.3e-4,0.05922,2.3e-4,0.01632,0.08071,2.3e-4,2.3e-4,2.3e-4,0.84238
0.2873,3.4e-4,3.4e-4,0.23678,0.44014,3.4e-4,3.4e-4,3.4e-4,0.03374,3.4e-4
5.5e-4,5.5e-4,5.5e-4,5.5e-4,5.5e-4,5.5e-4,5.5e-4,5.5e-4,0.99505,5.5e-4
0.44475,5.2e-4,5.2e-4,0.55106,5.2e-4,5.2e-4,5.2e-4,5.2e-4,5.2e-4,5.2e-4
0.88566,8.9e-4,8.9e-4,8.9e-4,8.9e-4,0.10726,8.9e-4,8.9e-4,8.9e-4,8.9e-4
0.22314,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.2839,0.48648
0.11833,2.9e-4,0.04165,0.01251,2.9e-4,2.9e-4,2.9e-4,2.9e-4,0.63567,0.19036
4.6e-4,4.6e-4,4.6e-4,4.6e-4,0.23792,0.16243,0.04607,4.6e-4,0.52452,0.02678
4.6e-4,4.6e-4,0.5601,4.6e-4,4.6e-4,4.6e-4,4.6e-4,0.06261,0.15491,0.21963
0.70267,0.0013,0.0013,0.28694,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
0.99636,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4
0.01197,2.4e-4,2.4e-4,0.16184,2.4e-4,2.4e-4,2.4e-4,2.4e-4,0.774,0.05075
0.10666,0.06809,3e-4,0.01771,3e-4,0.04345,0.2762,3e-4,0.09064,0.39634
0.43001,0.10539,0.00278,0.00278,0.44514,0.00278,0.00278,0.00278,0.00278,0.00278
0.02235,4.8e-4,0.97384,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4
8e-4,8e-4,8e-4,8e-4,0.06534,8e-4,0.17516,8e-4,0.23046,0.52424
0.09041,4.7e-4,0.1785,0.48502,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.19509,0.04861
0.11942,2.6e-4,0.81557,2.6e-4,2.6e-4,0.06322,2.6e-4,2.6e-4,2.6e-4,2.6e-4
0.12151,0.00147,0.00147,0.24803,0.04816,0.57347,0.00147,0.00147,0.00147,0.00147
2.3e-4,2.3e-4,2.3e-4,2.3e-4,0.10293,2.3e-4,2.3e-4,2.3e-4,0.23039,0.66508
0.5004,5.3e-4,0.2411,0.25481,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4
0.04307,1.5e-4,1.5e-4,0.04711,1.5e-4,0.1774,1.5e-4,1.5e-4,1.5e-4,0.7315
0.07686,0.14166,0.56222,0.2168,4.1e-4,4.1e-4,4.1e-4,4.1e-4,4.1e-4,4.1e-4
9.8e-4,9.8e-4,9.8e-4,0.61089,9.8e-4,9.8e-4,9.8e-4,9.8e-4,0.38127,9.8e-4
0.84996,0.01667,0.01667,0.01668,0.01667,0.01667,0.01667,0.01667,0.01668,0.01667
5.3e-4,5.3e-4,0.99524,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4
4e-4,0.27888,0.32475,4e-4,4e-4,4e-4,0.31449,4e-4,4e-4,0.07945
6.8e-4,6.8e-4,0.85797,0.13659,6.8e-4,6.8e-4,6.8e-4,6.8e-4,6.8e-4,6.8e-4
0.04306,5e-4,0.95292,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4
0.00476,0.00476,0.75079,0.00476,0.00476,0.00476,0.00476,0.00476,0.21111,0.00476
4.2e-4,4.2e-4,0.57572,0.42096,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4
4.1e-4,4.1e-4,0.9963,4.1e-4,4.1e-4,4.1e-4,4.1e-4,4.1e-4,4.1e-4,4.1e-4
2.4e-4,2.4e-4,0.99785,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4
0.06572,4.9e-4,0.83751,4.9e-4,4.9e-4,4.9e-4,4.9e-4,4.9e-4,0.09336,4.9e-4
3e-4,3e-4,0.50352,0.47962,0.01478,3e-4,3e-4,3e-4,3e-4,3e-4
0.0387,4.2e-4,0.01396,4.2e-4,4.2e-4,4.2e-4,0.03948,0.01381,0.86017,0.03222
0.33071,5e-4,5e-4,5e-4,5e-4,5e-4,0.66529,5e-4,5e-4,5e-4
0.02933,2.2e-4,2.2e-4,2.2e-4,0.08123,2.2e-4,2.2e-4,2.2e-4,0.74941,0.13873
0.25521,2.9e-4,2.9e-4,2.9e-4,2.9e-4,2.9e-4,0.01224,2.9e-4,0.30148,0.42932
0.07511,5.2e-4,0.70167,0.10383,5.2e-4,0.1163,5.2e-4,5.2e-4,5.2e-4,5.2e-4
0.05812,8.7e-4,8.7e-4,0.09543,8.7e-4,8.7e-4,0.79112,0.05012,8.7e-4,8.7e-4
2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,0.95216,2.8e-4,0.0456
4.8e-4,0.05443,0.16746,0.77475,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4
2.5e-4,2.5e-4,0.23746,0.76055,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4
0.18817,2.1e-4,0.1517,0.19137,2.1e-4,2.1e-4,0.41945,2.1e-4,0.04825,2.1e-4
0.985,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167
0.17642,3.8e-4,0.121,0.22103,0.07643,3.8e-4,0.07899,3.8e-4,0.32463,3.8e-4
3.6e-4,0.09011,0.13909,0.70409,3.6e-4,3.6e-4,3.6e-4,3.6e-4,0.06453,3.6e-4
